GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM number
0.08,3.4116237339206315,2.5588131906946696,3.0000000010357946,30.553161667510906
0.09,3.5642013626364033,2.4357862449917502,3.000012388880238,30.436829102057644
0.1,3.7945278589002704,2.1693938221152864,3.0360783149102133,30.405445544402532
0.11,3.950918663535287,2.048888711952116,3.0001917746784024,30.247598424390013
0.12,3.9456956804265335,2.999982933683553,2.4859505115291753,29.26532327812197
0.13,3.999998749508682,2.999606781567059,2.825205027249008,29.547094661703095
0.14,3.9999801916210496,2.9999704283136235,2.3004766186610013,29.073221974320365
0.15,3.966561047386384,2.0009418498315346,3.000000086403917,29.909658351337853
0.16,3.979897371493996,2.0000063599236864,3.000001767992133,29.840049425772726
0.17,3.986848504548787,2.013136428797182,3.000003284188425,29.779406002727324
0.18,3.986848504548787,2.013136428797182,3.000003284188425,29.734201737617944
0.19,3.986848504548787,2.013136428797182,3.000003284188425,29.696855895427404
0.2,3.9863328156297784,2.0134327428799597,3.0000173718491085,29.66702556178538
0.21,3.9987384052696315,2.0185488483213603,2.9827900937711997,29.595595085869952
