W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM number
0.2,3.080909499387583,2.9999951522859547,2.922528863098788,29.513485369503663
0.21000000000000002,3.5424848915502753,2.9999999961771078,2.9823468691393327,29.49126389160629
0.22,3.365547535364693,2.9999999984790233,2.9670150630749985,29.492441950133923
0.23,3.0098035097548843,2.9901516042512863,3.0000329784966526,29.520408012046857
0.24000000000000002,3.000007907074021,2.9998111347450704,3.0000054772877736,29.508652430123078
0.25,3.0000020639524028,2.931625781389272,3.0683428320783364,29.58231323566976
0.26,3.004174079961392,2.9958092285798146,3.0000131450304073,29.517149416340196
0.27,3.004163982752229,2.9957149216900225,3.000003029402591,29.53132982811747
0.28,3.000018284328577,2.9295674012347446,3.0703351620044304,29.61197178342381
0.29000000000000004,3.0000225979666926,2.998534775037543,3.000041314028585,29.578388195842937
0.30000000000000004,3.000031360217937,2.9961985249445418,3.0037672399419413,29.614363979942798
0.31,3.000039936243293,2.9585855015285523,3.0413607708206998,29.67826967423655
0.32,3.0000584570143323,2.9579938217505486,3.041910191663024,29.721270117042764
0.33,3.0001149497927235,2.9994871362436504,3.000381742659883,29.74913086556939
0.34,3.000005633514093,2.962932046756896,3.0370454517617285,29.821130064505958
0.35,3.0000218258749243,2.963733706574824,3.0362154032412105,29.8801979248856
0.36,3.1021788049355328,2.8977991267432612,3.0000004846382096,29.974666448928865
0.37,3.0000125040195558,2.9689575730906603,3.0289772473491663,30.01293872856958
0.38,3.0000012004039807,2.987398752928428,3.000005931178411,30.08536719054726
0.39,3.000000114686794,2.994352555466287,3.005571528433136,30.16660707443053
