GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.0000227701365123,5.000006511642265,3.0289767397287535,29.802595846891247
0.09,3.496478218106921,5.000036874762147,3.0003689249543903,29.82005483643101
0.1,3.434641908558918,5.000013221788208,3.00001722727787,29.800839987924864
0.11,3.000204848914467,2.999425168549254,3.000001889017734,30.07785427820212
0.12,3.000403114073965,3.000310080753236,2.999284292869671,29.76342193923815
0.13,3.000051292489926,2.9987398840074952,3.0000237805888235,29.979566567798496
0.14,3.0000565763524154,2.9996776677332093,3.000003599166116,29.940799069745864
0.15,3.056036640242192,2.9439431472744904,3.0000106189055504,29.922659316412165
0.16,3.056083625299303,2.9438712393726734,3.000032121225317,29.895173462768845
0.17,3.0560150747752184,2.943943222800552,3.0000415831245,29.87349394618412
0.18,3.0560150747752184,2.943943222800552,3.0000415831245,29.85725739829965
0.19,3.003955964202733,2.996023027135146,3.000004348282431,29.83763990462188
0.2,3.0007460704117914,2.9991001831240736,3.000020497205144,29.83137103580652
0.21,3.0007459998854467,2.999105742307634,3.000009820772438,29.82973240105239
