W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,3.588436432241693,2.9999999760083655,2.9863285665985346,29.4358065878039
0.21000000000000002,3.38746759806523,2.999999999347404,2.9689145172238947,29.442922049109185
0.22,3.079602774702588,2.9999841735949544,2.9205034746689584,29.438757348706286
0.23,3.000007907074021,2.9998111347450704,3.0000054772877736,29.467883320521935
0.24000000000000002,3.0030206436751143,2.9966145335799217,3.000349070205183,29.476733803299556
0.25,3.004163982752229,2.9957149216900225,3.000003029402591,29.492689969362758
0.26,3.000048795161783,2.984754326309135,3.000010423271565,29.520083123650167
0.27,3.0000116780545474,2.929647061779737,3.070303333408325,29.598243623511877
0.28,3.000031360217937,2.9961985249445418,3.0037672399419413,29.587597264756425
0.29000000000000004,3.000077257046584,2.9585111002175353,3.0413902511923308,29.654678249646658
0.30000000000000004,3.0000890762657093,2.958003268249074,3.0419007186392726,29.70439280222105
0.31,3.0001149497927235,2.9994871362436504,3.000381742659883,29.74391265123023
0.32,3.0000324880811746,2.9629728806669933,3.0369639197413805,29.82104146328173
0.33,3.0018183806563306,2.9947882409239988,3.00001170330623,29.88263191217755
0.34,3.0000017484395403,2.9688356149117157,3.0000127708575635,29.96172330831137
0.35,3.000000004986422,2.9995276257801677,3.000316732171676,30.04319851836851
0.36,3.0000084383779764,2.9261712106937514,3.0738201456378533,30.13014563216702
0.37,3.0000000003279297,2.580206220055661,3.0034751425802275,30.21371888889201
0.38,3.0000000064507084,2.3209269849637533,3.000787038179663,30.28800818563254
0.39,3.000000062954542,2.0587423467235606,2.9412558795400496,30.27446206545165
