W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,5.560926468668288,2.0000021450520435,3.0000028183469,29.59783350848437
0.21000000000000002,5.4105893717341536,2.0000238781442228,3.000017985276668,29.60821003904033
0.22,5.469516432089268,2.0000000005677947,3.000013690162744,29.61803366890286
0.23,5.451743788292216,2.0000000023490507,3.0707478924617764,29.645776806232504
0.24000000000000002,4.976360197244516,2.0235338239421123,3.0000063405698336,29.632073134440127
0.25,3.9725605072650056,2.00003958629208,3.0273942703972603,29.73345933680929
0.26,3.972058063689996,2.0000206756139924,3.027878842837679,29.729537481725544
0.27,3.9719844011533105,2.0000345612223027,3.0279497862905753,29.728375098600893
0.28,3.972017939865897,2.000004301456463,3.0279437152823303,29.73013957871131
0.29000000000000004,3.9941016960553575,2.0000004241194564,3.005850619069551,29.722108503955617
0.30000000000000004,3.99401106291406,2.000008758216186,3.0059752133908364,29.730567072785124
0.31,3.963020787341069,2.000002818540203,3.0367244501756288,29.75714212583029
0.32,3.9999238777658173,2.0000052691831964,3.0000338496004053,29.752874721782586
0.33,3.9984727765379313,2.0014233331571045,3.000078750834825,29.769932425450246
0.34,3.996350511580757,2.000015465173349,3.0035537373862375,29.789858956457174
0.35,3.9963038650728633,2.000038350709497,3.003640432815857,29.811305325480458
0.36,3.998928208627563,2.000015002706128,3.001048959036056,29.834347584737728
0.37,3.9802757481778066,2.000001099576534,3.0195737994437906,29.865364168765602
0.38,3.971741104214222,2.001040628748715,3.0000123198377056,29.891378941224247
0.39,3.9762652365953146,2.0000061275506456,3.000004688130967,29.921181666302335
