Generations no drug,Generations drug,MM fraction
12,6,0.36533711502103683
12,7,0.3584069343035475
12,8,0.35213490715388324
12,9,0.34643400559051807
12,10,0.34123203446763656
12,11,0.3364680254873818
12,12,0.3320897758323688
12,13,0.32801920196776324
12,14,0.3241859835278898
12,15,0.3218416998703095
12,16,0.45414541881891746
12,17,0.49422248436138727
12,18,0.4950174028058703
12,19,0.49572933986158896
12,20,0.4963972954479138
12,21,0.4970252032498155
13,2,0.40486688331402093
13,3,0.394013129875305
13,4,0.38467439799270164
13,5,0.37637328417916377
13,6,0.3689052485027239
13,7,0.3621429863223987
13,8,0.35599164473446665
13,9,0.3503745409132555
13,10,0.3452274141347164
13,11,0.340495556750744
13,12,0.3361298510561955
13,13,0.33208739193444053
13,14,0.3283155515799639
13,15,0.32488764963139827
13,16,0.35336876277138846
13,17,0.4929954233160008
13,18,0.4939503533370948
13,19,0.4946734056840533
13,20,0.495353120826867
13,21,0.4959932715805207
14,2,0.4066542844134064
14,3,0.3963281534717128
14,4,0.3873773750761581
14,5,0.37936999339042216
14,6,0.3721251556848357
14,7,0.3655314267806048
14,8,0.3595056101344059
14,9,0.35397992208952284
14,10,0.3488970274427423
14,11,0.34420753051606945
14,12,0.33986869803313147
14,13,0.33584251342803284
14,14,0.332092569530578
14,15,0.3285939916683963
14,16,0.32611419381273177
14,17,0.4909259843331279
14,18,0.4929394307212155
14,19,0.4936798162760165
14,20,0.49436876286296405
14,21,0.4950187478728945
15,2,0.4082382401788087
15,3,0.3983931225736769
15,4,0.3898029044404807
15,5,0.3820738684340253
15,6,0.3750449627182602
15,7,0.36861810580956145
15,8,0.36272002668241027
15,9,0.35729062067959916
15,10,0.3522785961639092
15,11,0.34763951200524407
15,12,0.34333457388747163
15,13,0.3393294808240139
15,14,0.33559372408269006
15,15,0.3320993865629831
15,16,0.32888682550614234
15,17,0.4249968234496123
15,18,0.4919783208679063
15,19,0.49274337976424293
15,20,0.4934393976994739
15,21,0.4940971432889029
16,2,0.40965145706429035
16,3,0.4002462558934084
16,4,0.39199135262348184
16,5,0.3845255312889498
16,6,0.37770442772775065
16,7,0.37144126626566737
16,8,0.3656712658967443
16,9,0.3603409682906586
16,10,0.3554043928685345
16,11,0.350821373052533
16,12,0.34655660374018377
16,13,0.3425789699809455
16,14,0.3388608063360827
16,15,0.3353771472556302
16,16,0.33176018153296644
16,17,0.3344250573857413
16,18,0.49102797647690366
16,19,0.49185942903498525
16,20,0.4925606678799078
16,21,0.49301807015343363
17,2,0.41092002113635856
17,3,0.4019184079872593
17,4,0.39397567484845825
17,5,0.3867584877240215
17,6,0.38013665406462005
17,7,0.37403302671666644
17,8,0.36839011958948453
17,9,0.36316024762350874
17,10,0.3583020856833834
17,11,0.353779257222048
17,12,0.3495595850251178
17,13,0.34561454784882917
17,14,0.34191879765709354
17,15,0.33839375166309144
17,16,0.33500878605724344
17,17,0.331563225981899
17,18,0.48997064082662567
17,19,0.49102376320787783
17,20,0.49082441477220284
17,21,0.4921898755930956
18,2,0.4120649842225588
18,3,0.4034347497970926
18,4,0.395783026771265
18,5,0.38880060346356976
18,6,0.38236940838272365
18,7,0.3764205406877997
18,8,0.37090280998398395
18,9,0.36577356161216207
18,10,0.3609955676868344
18,11,0.35653582028987446
18,12,0.3523649250337186
18,13,0.3484566810264571
18,14,0.34477774687394297
18,15,0.3413092497238646
18,16,0.33799725085256566
18,17,0.33462307986909084
18,18,0.4883569189402195
18,19,0.47781598653033297
18,20,0.4900072911646077
18,21,0.4914031852316428
19,2,0.41310351676270557
19,3,0.404816012247468
19,4,0.39743597737815956
19,5,0.39067523252159453
19,6,0.38442614284030796
19,7,0.3786269078037181
19,8,0.3732317934449296
19,9,0.3682025434854112
19,10,0.36350552945706965
19,11,0.3591107897282383
19,12,0.3549913793338996
19,13,0.35112133623281805
19,14,0.34747967024075993
19,15,0.34404244989587585
19,16,0.3407768088444856
19,17,0.33755777517579383
19,18,0.3789045187460631
19,19,0.47356187569297437
19,20,0.48922649970897847
19,21,0.49065500758208513
20,2,0.41404975973957486
20,3,0.40607941893559185
20,4,0.3989534321129294
20,5,0.39240208782697295
20,6,0.3863267941698988
20,7,0.38067189496361786
20,8,0.37539640476050107
20,9,0.3704659258713274
20,10,0.36585004463533366
20,11,0.3615214245902614
20,12,0.35745503891041236
20,13,0.3536288488276438
20,14,0.3500220725045238
20,15,0.3466147266784675
20,16,0.34338303263557
20,17,0.3404924447683529
20,18,0.35561697417580757
20,19,0.46814773347970867
20,20,0.4884787332782211
20,21,0.48994260755487684
21,2,0.41491546235168764
21,3,0.40723939481671484
21,4,0.40035134350863566
21,5,0.39399791999808487
21,6,0.3880884137171388
21,7,0.382572511208641
21,8,0.37741337566638156
21,9,0.3725800052763105
21,10,0.3680448238016612
21,11,0.363782808309281
21,12,0.35977136520146324
21,13,0.35598984943945333
21,14,0.35241942121638287
21,15,0.34904225582232784
21,16,0.3458435643325979
21,17,0.3428734021002139
21,18,0.3470398958722941
21,19,0.46158546905853387
21,20,0.4877608412418694
21,21,0.4892634871595645
