Generation,xOC,xOB,xMMd,xMMr,total xMM
0.0,0.2,0.3,0.2,0.3,0.5
0.5263157894736842,0.3119027781342415,0.24961750752465275,0.190362389793671,0.24811732454743476,0.4384797143411058
1.0526315789473684,0.4057647814726502,0.20294417701042586,0.185887801852974,0.20540323966394997,0.39129104151692395
1.5789473684210527,0.47172648019232616,0.1654828789102586,0.18932657247732945,0.1734640684200858,0.36279064089741525
2.1052631578947367,0.5148101152227963,0.1360785756684434,0.20014700212264458,0.1489643069861157,0.3491113091087603
2.631578947368421,0.5422361023272073,0.11231533665606037,0.21691720307273546,0.12853135794399673,0.34544856101673216
3.1578947368421053,0.5594190860233675,0.09240125559009572,0.23813590778695265,0.11004375059958407,0.34817965838653675
3.6842105263157894,0.569853604566622,0.07530471171250774,0.2623006836892905,0.09254100003157979,0.35484168372087027
4.2105263157894735,0.5757278717023995,0.060517328980970155,0.287866098624579,0.07588870069205143,0.36375479931663046
4.7368421052631575,0.5784604093982636,0.047820050933905706,0.3132900964934887,0.06042944317434207,0.3737195396678308
5.263157894736842,0.579050271894011,0.03711077208265484,0.3371811791347584,0.04665777688857586,0.3838389560233343
5.789473684210526,0.5782639998330754,0.02829330654516874,0.3584774694611537,0.03496522416060221,0.39344269362175593
6.315789473684211,0.5767076616921571,0.021222588073771094,0.37656561605659494,0.025504134177476812,0.40206975023407177
6.842105263157895,0.5748402955057231,0.015696238551618072,0.3912857773400118,0.01817768860264691,0.4094634659426587
7.368421052631579,0.5729760528029757,0.011474975048140226,0.4028354343809411,0.01271353776794309,0.4155489721488842
7.894736842105263,0.5712988708768318,0.008312229887032898,0.4116278327924357,0.00876106644369972,0.4203888992361354
8.421052631578947,0.5698910825792363,0.0059789520877995776,0.4181602883931164,0.005969676939847789,0.4241299653329642
8.947368421052632,0.5687668880410032,0.004278066321236474,0.4229212759032641,0.004033769734496243,0.4269550456377604
9.473684210526315,0.5679019886544039,0.003049269900118901,0.4263396312131599,0.0027091102323172386,0.4290487414454771
10.0,0.5672552477891789,0.002167385645501102,0.42876583539368884,0.0018115311716310693,0.4305773665653199
10.0,0.5672552477891789,0.002167385645501102,0.42876583539368884,0.0018115311716310693,0.4305773665653199
11.25,0.7152846042399159,0.0026419863870209923,0.2799812180484323,0.002092191324631295,0.2820734093730636
12.5,0.7702525777930609,0.0045220440447731255,0.22122705880920068,0.003998319352965977,0.22522537816216667
13.75,0.7902302552086052,0.00899122752251783,0.19126632668922836,0.009512190579649919,0.20077851726887827
15.0,0.7879378903522664,0.018681060719787583,0.16886399386958376,0.024517055058365073,0.19338104892794883
15.0,0.7879378903522664,0.018681060719787583,0.16886399386958376,0.024517055058365073,0.19338104892794883
16.25,0.6430584366303661,0.014780110996369654,0.3200728009885652,0.022088651384702066,0.3421614523732673
17.5,0.5897999426430717,0.007842433332898736,0.3911334247345193,0.011224199289513325,0.40235762402403263
18.75,0.5734580504994139,0.003669774790278058,0.41818291928759643,0.004689255422714364,0.4228721747103108
20.0,0.568303303974958,0.00164589696287906,0.4282204060372849,0.0018303930248804098,0.4300507990621653
20.0,0.568303303974958,0.00164589696287906,0.4282204060372849,0.0018303930248804098,0.4300507990621653
21.25,0.7159423073381012,0.00200987115803626,0.2799275831834602,0.002120238320405878,0.2820478215038661
22.5,0.7710362297447855,0.0034451860642114728,0.2214570048198681,0.004061579371141587,0.2255185841910097
23.75,0.7916052917216848,0.006863850716833583,0.19183593972728374,0.009694917834211551,0.2015308575614953
25.0,0.7905782461935527,0.014310600033364521,0.16996938902467612,0.025141764748435432,0.19511115377311156
25.0,0.7905782461935527,0.014310600033364521,0.16996938902467612,0.025141764748435432,0.19511115377311156
26.25,0.643776049476014,0.011272873870228203,0.3223551016962325,0.022595974957557996,0.3449510766537905
27.5,0.5899109928154982,0.0059462697562478765,0.3927284137298813,0.011414323698403069,0.4041427374282844
28.75,0.5734519860140226,0.002772912942788839,0.419024365138963,0.0047507359042520715,0.4237751010432151
30.0,0.5682849003238336,0.0012415430710268928,0.4286227400271805,0.0018508165779816217,0.4304735566051621
30.0,0.5682849003238336,0.0012415430710268928,0.4286227400271805,0.0018508165779816217,0.4304735566051621
31.25,0.7161567353698863,0.001515645612981554,0.28018430028385055,0.0021433187333181856,0.28232761901716874
32.5,0.77152513352503,0.002598950508694077,0.22176715218300685,0.004108763783337596,0.22587591596634446
33.75,0.7926346834141754,0.005184155279041152,0.19235311319152482,0.009828048115398318,0.20218116130692312
35.0,0.7926632987867153,0.010836860907516618,0.1708946472893232,0.025605193016735955,0.19649984030605913
35.0,0.7926632987867153,0.010836860907516618,0.1708946472893232,0.025605193016735955,0.19649984030605913
36.25,0.6443210680458624,0.008505708693930837,0.3242111212337272,0.022962102026812085,0.3471732232605393
37.5,0.5899842408840661,0.004465420308985728,0.39400689683777734,0.011543441969478272,0.4055503388072556
38.75,0.573440572497792,0.0020766645680710505,0.41969281439532763,0.004789948539077243,0.4244827629344049
40.0,0.568267719566592,0.0009285614361598133,0.428940488964728,0.001863230032749201,0.43080371899747716
40.0,0.568267719566592,0.0009285614361598133,0.428940488964728,0.001863230032749201,0.43080371899747716
41.25,0.7163227499622505,0.0011332984785280974,0.2803867352505669,0.002157216309025374,0.2825439515595923
42.5,0.7719066770797485,0.0019438757607767453,0.22201172716263606,0.004137719997537424,0.2261494471601735
43.75,0.7934425381375902,0.003881218087985066,0.19276273474471028,0.009913509031135375,0.20267624377584567
45.0,0.7943125853044233,0.008130418538315485,0.1716346067831907,0.025922389377031698,0.1975569961602224
45.0,0.7943125853044233,0.008130418538315485,0.1716346067831907,0.025922389377031698,0.1975569961602224
46.25,0.6447399295181264,0.006363408363185766,0.325691798708589,0.02320486341347567,0.34889666212206466
47.5,0.5900319920984743,0.003328301326244196,0.39501922145644147,0.011620485121950467,0.40663970657839194
48.75,0.5734262956519277,0.0015445338864492927,0.42021883503887014,0.004810335425459142,0.4250291704643293
50.0,0.5682518905467857,0.0006899043368836357,0.42918931070220107,0.0018688944164402233,0.4310582051186413
50.0,0.5682518905467857,0.0006899043368836357,0.42918931070220107,0.0018688944164402233,0.4310582051186413
51.25,0.7164496448105507,0.0008418662334257188,0.28054510721058995,0.0021633817491776538,0.2827084889597676
52.5,0.77220119828741,0.0014443272429611144,0.2222031557806396,0.004151318696040443,0.22635447447668003
53.75,0.7940702665946289,0.0028860238623187903,0.19308500168608228,0.009958707871319783,0.20304370955740206
55.0,0.7956055434199218,0.006056057798523188,0.172223195606462,0.02611520320502303,0.19833839881148502
55.0,0.7956055434199218,0.006056057798523188,0.172223195606462,0.02611520320502303,0.19833839881148502
56.25,0.6450579825715642,0.004729546794662323,0.3268692289187426,0.023343241749087657,0.35021247066783023
57.5,0.5900597456171177,0.0024665434010874726,0.3958200163342622,0.011653694678831115,0.4074737110130933
58.75,0.5734097131812183,0.0011427204473162852,0.4206326948106855,0.004814871587977241,0.4254475663986627
60.0,0.5682370387645176,0.0005100114347320241,0.4293840828093335,0.0018688670146253437,0.43125294982395884
60.0,0.5682370387645176,0.0005100114347320241,0.4293840828093335,0.0018688670146253437,0.43125294982395884
61.25,0.7165457337966286,0.0006222611877973922,0.2806689806452998,0.0021630244078813575,0.2828320050531812
62.5,0.7724272832906584,0.0010677603991488202,0.2223529829007517,0.004151973480269296,0.226504956381021
63.75,0.7945562392750994,0.002134898311324767,0.1933388292627321,0.00997003329502811,0.2033088625577602
65.0,0.7966173612708376,0.004486196219835092,0.1726929535492561,0.026203489261033223,0.19889644281028931
65.0,0.7966173612708376,0.004486196219835092,0.1726929535492561,0.026203489261033223,0.19889644281028931
66.25,0.6452974555619605,0.003497741475938162,0.3278108280238141,0.0233939752801665,0.35120480330398063
67.5,0.5900717035463728,0.0018200006553110134,0.3964583631389378,0.011649932973014279,0.40810829611195204
68.75,0.5733910131713935,0.0008420890403605204,0.4209609579455512,0.004805940114975851,0.4257668980605271
70.0,0.5682227295908863,0.00037559878003228333,0.4295376955690113,0.0018639762923115843,0.4314016718613229
70.0,0.5682227295908863,0.00037559878003228333,0.4295376955690113,0.0018639762923115843,0.4314016718613229
71.25,0.7166180843722716,0.0004582151587513182,0.2807666123621658,0.0021570884831082736,0.2829237008452741
72.5,0.7726008567017308,0.0007863835142512996,0.22247117681055453,0.004141583682218502,0.22661276049277304
73.75,0.7949336041524656,0.0015731051177019036,0.19354067133037695,0.009952620842649923,0.20349329217302686
75.0,0.7974139166065928,0.0033095631460055208,0.17307266259557752,0.026203860666215252,0.19927652326179277
75.0,0.7974139166065928,0.0033095631460055208,0.17307266259557752,0.026203860666215252,0.19927652326179277
76.25,0.6454768126502137,0.0025771403333315415,0.3285752932674653,0.023370757168730556,0.35194605043619587
77.5,0.5900709631739364,0.001338592199005768,0.3969758895327822,0.011614558227130341,0.40859044775991255
78.75,0.5733701544631241,0.0006187132971123162,0.4212257974249355,0.004785337532567987,0.4260111349575035
80.0,0.5682085285256292,0.000275829092100039,0.4296608112394769,0.0018548334600789415,0.43151564469955583
80.0,0.5682085285256292,0.000275829092100039,0.4296608112394769,0.0018548334600789415,0.43151564469955583
81.25,0.716672448408454,0.0003364715506169813,0.2808448148413513,0.0021462689540475157,0.28299108379539883
82.5,0.7727349647968025,0.0005775193696758352,0.22256596476345603,0.004121558141996931,0.22668752290545297
83.75,0.7952297018275825,0.0011557783528527636,0.19370417464519712,0.009910359577794294,0.20361453422299142
85.0,0.7980501076681422,0.0024340520201976447,0.17338650425380153,0.026129366159191345,0.19951587041299287
85.0,0.7980501076681422,0.0024340520201976447,0.17338650425380153,0.026129366159191345,0.19951587041299287
86.25,0.6456108403477123,0.00189361602019137,0.32921144047152545,0.023284137274786235,0.3524955777463117
87.5,0.5900597452659787,0.0009821676555212917,0.397406598639446,0.011551519656329237,0.4089581182957752
88.75,0.5733469706777437,0.0004535958501246276,0.42144512190619426,0.004754338630557603,0.42619946053675184
90.0,0.5681940384864151,0.00020213740604784462,0.42976198595048193,0.0018418612273133092,0.43160384717779526
90.0,0.5681940384864151,0.00020213740604784462,0.42976198595048193,0.0018418612273133092,0.43160384717779526
91.25,0.7167133879660827,0.00024656169467548745,0.2809090457333651,0.0021310419828281173,0.2830400877161932
92.5,0.7728400166134717,0.0004232429794439434,0.22264393706208963,0.004092873751796198,0.22673681081388583
93.75,0.7954664337219957,0.0008473411302108675,0.19384035157479226,0.00984601699953531,0.20368636857432756
