W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,3.080192113159595,2.9999999171128735,2.9223366749638693,29.560935986357272
0.21000000000000002,3.5638072592015186,2.999999998646082,2.9841944480715217,29.53587270357603
0.22,3.3865215663690824,2.99999999877956,2.9688325402020164,29.536741077652298
0.23,3.079657184146411,2.9999969014762033,2.9205146341969668,29.525104911646437
0.24000000000000002,3.000007907074021,2.9998111347450704,3.0000054772877736,29.55295533299975
0.25,3.0000464246470733,2.998435773370633,3.0000131392393454,29.552324489735444
0.26,3.0041689645306455,2.995463925396887,3.000304924901572,29.559913350206656
0.27,3.004163982752229,2.9957149216900225,3.000003029402591,29.572922770196747
0.28,3.0000972290522725,2.983776776818692,3.000009086516079,29.597178407125615
0.29000000000000004,3.0000225979666926,2.998534775037543,3.000041314028585,29.61839307194304
0.30000000000000004,3.000031360217937,2.9961985249445418,3.0037672399419413,29.653654129025895
0.31,3.000039936243293,2.9585855015285523,3.0413607708206998,29.717176717923596
0.32,3.0000679180012613,2.9584982640514967,3.041394115970993,29.75919740569586
0.33,3.0028603988104017,2.9970784570457276,3.0000436364798233,29.787347691201
0.34,3.000005633514093,2.962932046756896,3.0370454517617285,29.85803737343771
0.35,3.0000324880811746,2.9629728806669933,3.0369639197413805,29.91677002512791
0.36,3.101992597361612,2.8979976371029785,3.0000041798281742,30.010084464325292
0.37,3.0000065279306463,2.969688873207587,3.0293279704518636,30.048036242526734
0.38,3.0000012004039807,2.987398752928428,3.000005931178411,30.11976605225277
0.39,3.0000003116435767,2.9981356219254423,3.001613020739485,30.20047659728023
