GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.6944500423030844,2.304939291452193,3.0000000430829354,30.126578896092752
0.09,3.6512457817863817,2.331577638978633,3.0000103466633625,30.059606747095817
0.1,3.9826580899122943,2.0000811520499395,3.017253328308179,29.9991017499312
0.11,3.9827141080190924,2.000009495130072,3.0172183254033724,29.917058546947153
0.12,3.955418375672446,2.0150825555823504,3.0000000139105456,29.835662245987308
0.13,3.98798270869929,2.000094632736385,3.000005684075092,29.767702999588344
0.14,3.986848504548787,2.013136428797182,3.000003284188425,29.716028896701943
0.15000000000000002,3.986848504548787,2.013136428797182,3.000003284188425,29.67669659117231
0.16,3.9863328156297784,2.0134327428799597,3.0000173718491085,29.646072520800146
0.16999999999999998,3.9998442321827925,2.0000904839993856,3.0000126544452854,29.61771613885956
0.18,3.972044956621554,2.000053308113671,3.0279008189209,29.63387790522967
0.19,3.9991774754191036,2.0005629156356113,3.000255325846117,29.592446321532307
0.2,3.9991774754191036,2.0005629156356113,3.000255325846117,29.5892726096326
0.21000000000000002,3.998962403698382,2.0001392142868566,3.000875069028602,29.592280437411766
0.22000000000000003,3.999127868604032,2.0000053505479665,3.000853476018298,29.60007497245983
