GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.0000011174439205,4.1034540493255545,3.000000054163978,29.920944946478585
0.09,3.0000000653547803,4.026150534586013,3.000000040850935,29.907476285599394
0.1,3.00009743916073,4.000001991197463,3.000129013544665,29.89905574248379
0.11,3.000051292489926,2.9987398840074952,3.0000237805888235,30.048837040965232
0.12,3.000110706615727,2.9996101059725255,3.0000114520855776,30.013934397478963
0.13,3.0000697856614895,2.9996464331982056,3.0000109519335565,29.986073544568875
0.14,3.0078323057089245,3.521530893068628,3.0000000017390804,29.91179074159733
0.15000000000000002,3.0048573242324133,2.9950385202930496,3.0000785817250106,29.949610872627655
0.16,3.0732338373628805,2.9267163346794245,3.000027784371306,29.94475721794731
0.16999999999999998,3.1115534647665957,2.8878668112138257,3.000005048591638,29.940792665135994
0.18,3.0000312245056087,2.927429592677769,3.072482057932518,29.960169498931315
0.19,3.055827615445949,2.9440785770142917,3.0000009589058036,29.93954204046036
0.2,3.0000000437965815,2.9402816992063605,3.000413335776142,29.946546610477604
0.21000000000000002,3.000061353865246,2.8818327408029525,3.0000000121795107,29.957080934767895
0.22000000000000003,3.1104669958391966,2.79117553933958,3.0000000018832065,29.972393544624836
