GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.0000000263475295,3.3798287364622155,3.000000000114122,30.024866309372506
0.09,3.0000000447980733,3.2994572028747706,3.0005077976193735,30.01173022828261
0.1,3.1763630381590557,3.2298389972553228,3.0000000058128853,30.003562213759274
0.11,3.0051545186469966,3.1465472159497896,3.000000010282837,29.99820812193194
0.12,3.022303059173263,2.932144938646177,3.0000000006820358,30.038457676716433
0.13,3.16683662931694,2.8324781651090833,3.000684772400772,30.027981489129857
0.14,3.1545604024838116,2.7797138140399706,3.0000000116368026,30.0213109929044
0.15000000000000002,3.3849717272066737,2.615001209788362,3.0000270627802132,30.013527091155908
0.16,3.4849679663451383,2.515031368521175,3.000000001548165,30.010428149468495
0.16999999999999998,3.599351723558118,2.400615455850053,3.000004458214027,30.01030632317603
0.18,3.6573497455616746,2.341603979384586,3.000000005173065,30.01332966638984
0.19,3.7773279418572727,2.222671158554072,3.0000008780969134,30.019327601704916
0.2,3.870528285389094,2.1294716164483365,3.0000000051551923,30.02881813750913
0.21000000000000002,3.955101028074136,2.0448954375377673,3.000000109679349,30.041767278476847
0.22000000000000003,3.999651941002127,2.000081152266917,3.0002537444984108,30.058747440779676
